Time (s),Speed (m/s),Sticking C,k,killRate,Mode,Row spacing (m,Kill Total
600,6,0.75,0.6,0.7,1,2,3689.417047
600,6,0.75,0.6,0.9,1,2,3971.574272
600,9,0.25,0.2,0.5,1,2,1774.031383
600,9,0.25,0.2,0.7,1,2,2031.020617
600,9,0.25,0.2,0.9,1,2,2199.709109
600,9,0.25,0.4,0.5,1,2,2048.839099
600,9,0.25,0.4,0.7,1,2,2417.357269
600,9,0.25,0.4,0.9,1,2,2674.733499
600,9,0.25,0.6,0.5,1,2,2199.475913
600,9,0.25,0.6,0.7,1,2,2639.309063
600,9,0.25,0.6,0.9,1,2,2957.706579
600,9,0.5,0.2,0.5,1,2,2146.083356
600,9,0.5,0.2,0.7,1,2,2375.973576
600,9,0.5,0.2,0.9,1,2,2516.722427
600,9,0.5,0.4,0.5,1,2,2518.189383
600,9,0.5,0.4,0.7,1,2,2864.207373
600,9,0.5,0.4,0.9,1,2,3087.52921
600,9,0.5,0.6,0.5,1,2,2737.783321
600,9,0.5,0.6,0.7,1,2,3165.485991
600,9,0.5,0.6,0.9,1,2,3450.982873
600,9,0.75,0.2,0.5,1,2,2889.070205
600,9,0.75,0.2,0.7,1,2,3062.907434
600,9,0.75,0.2,0.9,1,2,3160.489797
600,9,0.75,0.4,0.5,1,2,3381.070604
600,9,0.75,0.4,0.7,1,2,3649.916077
600,9,0.75,0.4,0.9,1,2,3805.467271
600,9,0.75,0.6,0.5,1,2,3701.740367
600,9,0.75,0.6,0.7,1,2,4044.59496
600,9,0.75,0.6,0.9,1,2,4247.275306
600,12,0.25,0.2,0.5,1,2,1964.858237
600,12,0.25,0.2,0.7,1,2,2186.015576
600,12,0.25,0.2,0.9,1,2,2324.423837
600,12,0.25,0.4,0.5,1,2,2333.05829
600,12,0.25,0.4,0.7,1,2,2669.902402
600,12,0.25,0.4,0.9,1,2,2892.102218
600,12,0.25,0.6,0.5,1,2,2545.740545
600,12,0.25,0.6,0.7,1,2,2962.968136
600,12,0.25,0.6,0.9,1,2,3247.534583
600,12,0.5,0.2,0.5,1,2,2313.067076
600,12,0.5,0.2,0.7,1,2,2499.47972
600,12,0.5,0.2,0.9,1,2,2609.966523
600,12,0.5,0.4,0.5,1,2,2778.073376
600,12,0.5,0.4,0.7,1,2,3072.189608
600,12,0.5,0.4,0.9,1,2,3253.474969
600,12,0.5,0.6,0.5,1,2,3065.734821
600,12,0.5,0.6,0.7,1,2,3441.131551
600,12,0.5,0.6,0.9,1,2,3678.859103
600,12,0.75,0.2,0.5,1,2,3012.514281
600,12,0.75,0.2,0.7,1,2,3144.066647
600,12,0.75,0.2,0.9,1,2,3217.48155
600,12,0.75,0.4,0.5,1,2,3576.386274
600,12,0.75,0.4,0.7,1,2,3784.839567
600,12,0.75,0.4,0.9,1,2,3903.360763
600,12,0.75,0.6,0.5,1,2,3954.935015
600,12,0.75,0.6,0.7,1,2,4225.636039
600,12,0.75,0.6,0.9,1,2,4381.656493
300,6,0.25,0.2,0.5,2,2,851.6309546
300,6,0.25,0.2,0.5,2,5,901.4701248
300,6,0.25,0.2,0.5,2,10,907.9296573
300,6,0.25,0.2,0.5,2,20,932.4901507
300,6,0.25,0.2,0.7,2,2,1160.611465
300,6,0.25,0.2,0.7,2,5,1250.999248
300,6,0.25,0.2,0.7,2,10,1241.235965
300,6,0.25,0.2,0.7,2,20,1251.892365
300,6,0.25,0.2,0.9,2,2,1453.233698
300,6,0.25,0.2,0.9,2,5,1594.226091
300,6,0.25,0.2,0.9,2,10,1558.573681
300,6,0.25,0.2,0.9,2,20,1544.828432
300,6,0.25,0.4,0.5,2,2,822.4452911
300,6,0.25,0.4,0.5,2,5,898.2214076
300,6,0.25,0.4,0.5,2,10,911.4763506
300,6,0.25,0.4,0.5,2,20,951.5307548
300,6,0.25,0.4,0.7,2,2,1107.033127
300,6,0.25,0.4,0.7,2,5,1244.740408
300,6,0.25,0.4,0.7,2,10,1247.973072
300,6,0.25,0.4,0.7,2,20,1287.213163
300,6,0.25,0.4,0.9,2,2,1370.142578
300,6,0.25,0.4,0.9,2,5,1584.057738
300,6,0.25,0.4,0.9,2,10,1569.366211
300,6,0.25,0.4,0.9,2,20,1600.136989
300,6,0.25,0.6,0.5,2,2,806.6014051
300,6,0.25,0.6,0.5,2,5,894.2764819
300,6,0.25,0.6,0.5,2,10,912.7045026
300,6,0.25,0.6,0.5,2,20,959.3999494
300,6,0.25,0.6,0.7,2,2,1078.416697
300,6,0.25,0.6,0.7,2,5,1237.158288
300,6,0.25,0.6,0.7,2,10,1250.316212
300,6,0.25,0.6,0.7,2,20,1301.88631
300,6,0.25,0.6,0.9,2,2,1326.436434
300,6,0.25,0.6,0.9,2,5,1571.768232
300,6,0.25,0.6,0.9,2,10,1573.136331
300,6,0.25,0.6,0.9,2,20,1623.227031
300,6,0.5,0.2,0.5,2,2,875.7911878
300,6,0.5,0.2,0.5,2,5,941.3959805
300,6,0.5,0.2,0.5,2,10,1009.050185
300,6,0.5,0.2,0.5,2,20,1131.219408
300,6,0.5,0.2,0.7,2,2,1194.095578
300,6,0.5,0.2,0.7,2,5,1306.349912
300,6,0.5,0.2,0.7,2,10,1371.495323
300,6,0.5,0.2,0.7,2,20,1497.834267
300,6,0.5,0.2,0.9,2,2,1495.846107
300,6,0.5,0.2,0.9,2,5,1664.690208
300,6,0.5,0.2,0.9,2,10,1712.248517
300,6,0.5,0.2,0.9,2,20,1823.922152
300,6,0.5,0.4,0.5,2,2,845.9209903
300,6,0.5,0.4,0.5,2,5,937.9213386
300,6,0.5,0.4,0.5,2,10,1015.314046
300,6,0.5,0.4,0.5,2,20,1161.636823
300,6,0.5,0.4,0.7,2,2,1139.234806
300,6,0.5,0.4,0.7,2,5,1299.652775
300,6,0.5,0.4,0.7,2,10,1383.360869
300,6,0.5,0.4,0.7,2,20,1553.459476
300,6,0.5,0.4,0.9,2,2,1410.726028
300,6,0.5,0.4,0.9,2,5,1653.804653
300,6,0.5,0.4,0.9,2,10,1731.20366
300,6,0.5,0.4,0.9,2,20,1909.815416
300,6,0.5,0.6,0.5,2,2,829.2561724
300,6,0.5,0.6,0.5,2,5,933.6770635
300,6,0.5,0.6,0.5,2,10,1017.680476
300,6,0.5,0.6,0.5,2,20,1175.257687
300,6,0.5,0.6,0.7,2,2,1109.10768
300,6,0.5,0.6,0.7,2,5,1291.493094
300,6,0.5,0.6,0.7,2,10,1387.869671
300,6,0.5,0.6,0.7,2,20,1578.535735
300,6,0.5,0.6,0.9,2,2,1364.668928
300,6,0.5,0.6,0.9,2,5,1640.575309
300,6,0.5,0.6,0.9,2,10,1738.448828
300,6,0.5,0.6,0.9,2,20,1948.786729
300,6,0.75,0.2,0.5,2,2,941.9373903
300,6,0.75,0.2,0.5,2,5,1049.869584
300,6,0.75,0.2,0.5,2,10,1270.707516
300,6,0.75,0.2,0.5,2,20,1625.546407
300,6,0.75,0.2,0.7,2,2,1286.029146
300,6,0.75,0.2,0.7,2,5,1456.733404
300,6,0.75,0.2,0.7,2,10,1700.757923
300,6,0.75,0.2,0.7,2,20,2086.370151
300,6,0.75,0.2,0.9,2,2,1613.159348
300,6,0.75,0.2,0.9,2,5,1856.139036
300,6,0.75,0.2,0.9,2,10,2090.6167
300,6,0.75,0.2,0.9,2,20,2464.899114
300,6,0.75,0.4,0.5,2,2,911.3102221
300,6,0.75,0.4,0.5,2,5,1045.822552
300,6,0.75,0.4,0.5,2,10,1284.284005
300,6,0.75,0.4,0.5,2,20,1681.699663
300,6,0.75,0.4,0.7,2,2,1229.728892
300,6,0.75,0.4,0.7,2,5,1448.925272
300,6,0.75,0.4,0.7,2,10,1726.388133
300,6,0.75,0.4,0.7,2,20,2186.678381
300,6,0.75,0.4,0.9,2,2,1525.729228
300,6,0.75,0.4,0.9,2,5,1843.434535
300,6,0.75,0.4,0.9,2,10,2131.419709
300,6,0.75,0.4,0.9,2,20,2616.207854
300,6,0.75,0.6,0.5,2,2,893.3514711
300,6,0.75,0.6,0.5,2,5,1040.833627
300,6,0.75,0.6,0.5,2,10,1290.333204
300,6,0.75,0.6,0.5,2,20,1711.084552
300,6,0.75,0.6,0.7,2,2,1197.203885
300,6,0.75,0.6,0.7,2,5,1439.328881
300,6,0.75,0.6,0.7,2,10,1737.908957
300,6,0.75,0.6,0.7,2,20,2239.566276
300,6,0.75,0.6,0.9,2,2,1475.914444
300,6,0.75,0.6,0.9,2,5,1827.867237
300,6,0.75,0.6,0.9,2,10,2149.925036
300,6,0.75,0.6,0.9,2,20,2696.581142
300,9,0.25,0.2,0.5,2,2,1299.278089
300,9,0.25,0.2,0.5,2,5,1338.789822
300,9,0.25,0.2,0.5,2,10,1318.72453
300,9,0.25,0.2,0.5,2,20,1302.489883
300,9,0.25,0.2,0.7,2,2,1785.857817
300,9,0.25,0.2,0.7,2,5,1838.316992
300,9,0.25,0.2,0.7,2,10,1779.037182
300,9,0.25,0.2,0.7,2,20,1710.008105
300,9,0.25,0.2,0.9,2,2,2254.666272
300,9,0.25,0.2,0.9,2,5,2318.208619
300,9,0.25,0.2,0.9,2,10,2206.382824
300,9,0.25,0.2,0.9,2,20,2067.993475
300,9,0.25,0.4,0.5,2,2,1258.030348
300,9,0.25,0.4,0.5,2,5,1338.865837
300,9,0.25,0.4,0.5,2,10,1333.749092
300,9,0.25,0.4,0.5,2,20,1351.898187
300,9,0.25,0.4,0.7,2,2,1708.754121
300,9,0.25,0.4,0.7,2,5,1838.515104
300,9,0.25,0.4,0.7,2,10,1806.234846
300,9,0.25,0.4,0.7,2,20,1797.5073
300,9,0.25,0.4,0.9,2,2,2132.996228
300,9,0.25,0.4,0.9,2,5,2318.614953
300,9,0.25,0.4,0.9,2,10,2247.953966
300,9,0.25,0.4,0.9,2,20,2199.293992
300,9,0.25,0.6,0.5,2,2,1230.680112
300,9,0.25,0.6,0.5,2,5,1336.571986
300,9,0.25,0.6,0.5,2,10,1339.072353
300,9,0.25,0.6,0.5,2,20,1374.189251
300,9,0.25,0.6,0.7,2,2,1658.707405
300,9,0.25,0.6,0.7,2,5,1834.201095
300,9,0.25,0.6,0.7,2,10,1815.862689
300,9,0.25,0.6,0.7,2,20,1837.445491
300,9,0.25,0.6,0.9,2,2,2055.613527
300,9,0.25,0.6,0.9,2,5,2311.775235
300,9,0.25,0.6,0.9,2,10,2262.647433
300,9,0.25,0.6,0.9,2,20,2259.843711
300,9,0.5,0.2,0.5,2,2,1321.117176
300,9,0.5,0.2,0.5,2,5,1425.571196
300,9,0.5,0.2,0.5,2,10,1453.659776
300,9,0.5,0.2,0.5,2,20,1536.008174
300,9,0.5,0.2,0.7,2,2,1816.317476
300,9,0.5,0.2,0.7,2,5,1949.118082
300,9,0.5,0.2,0.7,2,10,1939.643634
300,9,0.5,0.2,0.7,2,20,1977.709975
300,9,0.5,0.2,0.9,2,2,2293.673172
300,9,0.5,0.2,0.9,2,5,2447.374601
300,9,0.5,0.2,0.9,2,10,2381.471463
300,9,0.5,0.2,0.9,2,20,2350.72555
300,9,0.5,0.4,0.5,2,2,1279.631108
300,9,0.5,0.4,0.5,2,5,1427.259073
300,9,0.5,0.4,0.5,2,10,1477.672448
300,9,0.5,0.4,0.5,2,20,1608.288063
300,9,0.5,0.4,0.7,2,2,1738.749688
300,9,0.5,0.4,0.7,2,5,1952.445401
300,9,0.5,0.4,0.7,2,10,1982.185572
300,9,0.5,0.4,0.7,2,20,2101.91488
300,9,0.5,0.4,0.9,2,2,2171.242216
300,9,0.5,0.4,0.9,2,5,2452.904861
300,9,0.5,0.4,0.9,2,10,2445.076966
300,9,0.5,0.4,0.9,2,20,2531.876959
300,9,0.5,0.6,0.5,2,2,1251.807074
300,9,0.5,0.6,0.5,2,5,1425.670673
300,9,0.5,0.6,0.5,2,10,1487.461175
300,9,0.5,0.6,0.5,2,20,1643.570799
300,9,0.5,0.6,0.7,2,2,1687.815083
300,9,0.5,0.6,0.7,2,5,1949.533741
300,9,0.5,0.6,0.7,2,10,1999.588993
300,9,0.5,0.6,0.7,2,20,2163.341328
300,9,0.5,0.6,0.9,2,2,2092.454658
300,9,0.5,0.6,0.9,2,5,2448.413242
300,9,0.5,0.6,0.9,2,10,2471.168935
300,9,0.5,0.6,0.9,2,20,2622.513126
300,9,0.75,0.2,0.5,2,2,1380.666627
300,9,0.75,0.2,0.5,2,5,1651.582272
300,9,0.75,0.2,0.5,2,10,1784.716181
300,9,0.75,0.2,0.5,2,20,2092.744203
300,9,0.75,0.2,0.7,2,2,1899.487913
300,9,0.75,0.2,0.7,2,5,2231.440193
300,9,0.75,0.2,0.7,2,10,2316.471823
300,9,0.75,0.2,0.7,2,20,2585.592956
300,9,0.75,0.2,0.9,2,2,2400.32469
300,9,0.75,0.2,0.9,2,5,2768.049828
300,9,0.75,0.2,0.9,2,10,2773.705691
300,9,0.75,0.2,0.9,2,20,2964.522712
300,9,0.75,0.4,0.5,2,2,1339.170574
300,9,0.75,0.4,0.5,2,5,1657.829571
300,9,0.75,0.4,0.5,2,10,1829.955755
300,9,0.75,0.4,0.5,2,20,2209.267951
300,9,0.75,0.4,0.7,2,2,1821.864043
300,9,0.75,0.4,0.7,2,5,2243.655516
300,9,0.75,0.4,0.7,2,10,2393.903837
300,9,0.75,0.4,0.7,2,20,2775.97002
300,9,0.75,0.4,0.9,2,2,2277.748275
300,9,0.75,0.4,0.9,2,5,2788.192515
300,9,0.75,0.4,0.9,2,10,2885.323719
